Attachmentname,Slot,WeaponUnlock,Points
Folding Vertical,Underbarrel,18.5KS-K,10
Full Angled,Underbarrel,18.5KS-K,25
Low-Profile Stubby,Underbarrel,18.5KS-K,45
Ribbed Stubby,Underbarrel,18.5KS-K,30
Ribbed Vertical,Underbarrel,18.5KS-K,20
Slim Angled,Underbarrel,18.5KS-K,25
Stippled Stubby,Underbarrel,18.5KS-K,35
FMJ,Ammunition,AK-205,5
Tungsten Core,Ammunition,AK-205,5
Polymer Case,Ammunition,AK-205,10
Hollow Point,Ammunition,AK-205,20
Frangible,Ammunition,AK-205,20
Synthetic Tip,Ammunition,AK-205,30
314MM Factory,Barrel,AK-205,10
314MM Prototype,Barrel,AK-205,10
314MM Fluted,Barrel,AK-205,20
Improved Mag Catch,Ergonomics,AK-205,5
Magwell Flare,Ergonomics,AK-205,10
Match Trigger,Ergonomics,AK-205,15
Flashlight,Left Accessory,AK-205,10
30RND Fast Mag,Magazine,AK-205,10
30RND Magazine,Magazine,AK-205,5
36RND Magazine,Magazine,AK-205,15
40RND Fast Mag,Magazine,AK-205,30
40RND Magazine,Magazine,AK-205,25
45RND Fast Mag,Magazine,AK-205,40
45RND Magazine,Magazine,AK-205,35
50RND Magazine,Magazine,AK-205,45
Compensated Brake,Muzzle,AK-205,20
CQB Suppressor,Muzzle,AK-205,30
Double-Port Brake,Muzzle,AK-205,10
Flash Hider,Muzzle,AK-205,10
Lightened Suppressor,Muzzle,AK-205,30
Linear Comp,Muzzle,AK-205,10
Long Suppressor,Muzzle,AK-205,25
Standard Suppressor,Muzzle,AK-205,20
Canted Iron Sights,Optic Accessory,AK-205,5
Canted Reflex,Optic Accessory,AK-205,10
Piggyback Reflex,Optic Accessory,AK-205,10
5 MW Red,Right Accessory,AK-205,10
5 MW Green,Right Accessory,AK-205,10
50 MW Green,Right Accessory,AK-205,20
50 MW Blue,Right Accessory,AK-205,20
120 MW Blue,Right Accessory,AK-205,30
Iron Sights,Scope,AK-205,5
MINI FLEX 1.00X,Scope,AK-205,10
R-MR 1.00X,Scope,AK-205,10
OSA-7 1.00x,Scope,AK-205,10
CQ RDS 1.25X,Scope,AK-205,10
RO-S 1.25X,Scope,AK-205,10
2PRO 1.25X,Scope,AK-205,10
ROX 1.50X,Scope,AK-205,10
SU-123 1.50X,Scope,AK-205,10
1P87 1.50X,Scope,AK-205,10
A-P2 1.75X,Scope,AK-205,10
RO-M 1.75x,Scope,AK-205,10
3VZR 1.75X,Scope,AK-205,10
CCO 2.00x,Scope,AK-205,10
R4T 2.00X,Scope,AK-205,10
BF-2M 2.50x,Scope,AK-205,10
BAKER 3.00X,Scope,AK-205,10
SDO 3.50X,Scope,AK-205,10
PVQ-31 4.00x,Scope,AK-205,10
LDS 4.50X,Scope,AK-205,10
ST PRISIM 5.00X,Scope,AK-205,10
SF-G2 5.00X,Scope,AK-205,10
MARS-F LPVO,Scope,AK-205,25
GRIM 1.50X,Scope,AK-205,25
PAS-35 3.00X,Scope,AK-205,25
6H64 Vertical,Underbarrel,AK-205,25
Alloy Vertical,Underbarrel,AK-205,20
Canted Stubby,Underbarrel,AK-205,30
Classic Vertical,Underbarrel,AK-205,35
Folding Stubby,Underbarrel,AK-205,20
Folding Vertical,Underbarrel,AK-205,10
Full Angled,Underbarrel,AK-205,25
Low-Profile Stubby,Underbarrel,AK-205,45
Ribbed Stubby,Underbarrel,AK-205,30
Ribbed Vertical,Underbarrel,AK-205,20
Slim Angled,Underbarrel,AK-205,25
Stippled Stubby,Underbarrel,AK-205,35
FMJ,Ammunition,AK4D,5
Tungsten Core,Ammunition,AK4D,5
Polymer Case,Ammunition,AK4D,10
Hollow Point,Ammunition,AK4D,20
Frangible,Ammunition,AK4D,20
450MM Factory,Barrel,AK4D,10
600MM Cut,Barrel,AK4D,10
600MM Fluted,Barrel,AK4D,15
600MM DMR,Barrel,AK4D,10
409MM US,Barrel,AK4D,15
Match Trigger,Ergonomics,AK4D,15
Flashlight,Left Accessory,AK4D,10
15RND Fast Mag,Magazine,AK4D,10
15RND Magazine,Magazine,AK4D,5
20RND Fast Mag,Magazine,AK4D,10
20RND Magazine,Magazine,AK4D,5
30RND Magazine,Magazine,AK4D,40
Compensated Brake,Muzzle,AK4D,20
CQB Suppressor,Muzzle,AK4D,30
Double-Port Brake,Muzzle,AK4D,10
Flash Hider,Muzzle,AK4D,10
Lightened Suppressor,Muzzle,AK4D,30
Linear Comp,Muzzle,AK4D,10
Long Suppressor,Muzzle,AK4D,25
Standard Suppressor,Muzzle,AK4D,20
Canted Iron Sights,Optic Accessory,AK4D,5
Canted Reflex,Optic Accessory,AK4D,10
5 MW Red,Right Accessory,AK4D,10
5 MW Green,Right Accessory,AK4D,10
50 MW Green,Right Accessory,AK4D,20
50 MW Blue,Right Accessory,AK4D,20
120 MW Blue,Right Accessory,AK4D,30
Iron Sights,Scope,AK4D,5
MINI FLEX 1.00X,Scope,AK4D,10
R-MR 1.00X,Scope,AK4D,10
OSA-7 1.00x,Scope,AK4D,10
CQ RDS 1.25X,Scope,AK4D,10
RO-S 1.25X,Scope,AK4D,10
2PRO 1.25X,Scope,AK4D,10
ROX 1.50X,Scope,AK4D,10
SU-123 1.50X,Scope,AK4D,10
1P87 1.50X,Scope,AK4D,10
A-P2 1.75X,Scope,AK4D,10
RO-M 1.75x,Scope,AK4D,10
3VZR 1.75X,Scope,AK4D,10
CCO 2.00x,Scope,AK4D,10
R4T 2.00X,Scope,AK4D,10
BF-2M 2.50x,Scope,AK4D,10
BAKER 3.00X,Scope,AK4D,10
SDO 3.50X,Scope,AK4D,10
PVQ-31 4.00x,Scope,AK4D,10
LDS 4.50X,Scope,AK4D,10
ST PRISIM 5.00X,Scope,AK4D,10
SF-G2 5.00X,Scope,AK4D,10
MARS-F LPVO,Scope,AK4D,25
MC-CO LPVO,Scope,AK4D,25
DVO LPVO,Scope,AK4D,25
GRIM 1.50X,Scope,AK4D,25
PAS-35 3.00X,Scope,AK4D,25
6H64 Vertical,Underbarrel,AK4D,25
Adjustable Angled,Underbarrel,AK4D,15
Alloy Vertical,Underbarrel,AK4D,20
Bipod,Underbarrel,AK4D,10
Canted Stubby,Underbarrel,AK4D,30
Classic Grip Pod,Underbarrel,AK4D,30
Classic Vertical,Underbarrel,AK4D,35
Folding Stubby,Underbarrel,AK4D,20
Folding Vertical,Underbarrel,AK4D,10
Full Angled,Underbarrel,AK4D,25
Low-Profile Stubby,Underbarrel,AK4D,45
PTT Grip Pod,Underbarrel,AK4D,20
QD Grip Pod,Underbarrel,AK4D,30
Ribbed Stubby,Underbarrel,AK4D,30
Ribbed Vertical,Underbarrel,AK4D,20
Slim Angled,Underbarrel,AK4D,25
Stippled Stubby,Underbarrel,AK4D,35
FMJ,Ammunition,B36A4,5
Tungsten Core,Ammunition,B36A4,5
Polymer Case,Ammunition,B36A4,10
Hollow Point,Ammunition,B36A4,20
Frangible,Ammunition,B36A4,20
Synthetic Tip,Ammunition,B36A4,30
480MM Factory,Barrel,B36A4,10
480MM MG,Barrel,B36A4,10
510MM Fluted,Barrel,B36A4,15
510MM DMR,Barrel,B36A4,10
391MM CQB,Barrel,B36A4,15
480MM Fluted,Barrel,B36A4,20
Match Trigger,Ergonomics,B36A4,15
20RND Fast Mag,Magazine,B36A4,5
20RND Magazine,Magazine,B36A4,5
30RND Fast Mag,Magazine,B36A4,10
30RND Magazine,Magazine,B36A4,5
36RND Magazine,Magazine,B36A4,15
40RND Fast Mag,Magazine,B36A4,30
40RND Magazine,Magazine,B36A4,25
45RND Fast Mag,Magazine,B36A4,40
45RND Magazine,Magazine,B36A4,35
Compensated Brake,Muzzle,B36A4,20
CQB Suppressor,Muzzle,B36A4,30
Double-Port Brake,Muzzle,B36A4,10
Flash Hider,Muzzle,B36A4,10
Lightened Suppressor,Muzzle,B36A4,30
Linear Comp,Muzzle,B36A4,10
Long Suppressor,Muzzle,B36A4,25
Standard Suppressor,Muzzle,B36A4,20
Canted Iron Sights,Optic Accessory,B36A4,5
Canted Reflex,Optic Accessory,B36A4,10
Flashlight,Right Accessory,B36A4,10
Iron Sights,Scope,B36A4,5
MINI FLEX 1.00X,Scope,B36A4,10
R-MR 1.00X,Scope,B36A4,10
OSA-7 1.00x,Scope,B36A4,10
CQ RDS 1.25X,Scope,B36A4,10
RO-S 1.25X,Scope,B36A4,10
2PRO 1.25X,Scope,B36A4,10
ROX 1.50X,Scope,B36A4,10
SU-123 1.50X,Scope,B36A4,10
1P87 1.50X,Scope,B36A4,10
A-P2 1.75X,Scope,B36A4,10
RO-M 1.75x,Scope,B36A4,10
3VZR 1.75X,Scope,B36A4,10
CCO 2.00x,Scope,B36A4,10
R4T 2.00X,Scope,B36A4,10
BF-2M 2.50x,Scope,B36A4,10
BAKER 3.00X,Scope,B36A4,10
SDO 3.50X,Scope,B36A4,10
PVQ-31 4.00x,Scope,B36A4,10
LDS 4.50X,Scope,B36A4,10
ST PRISIM 5.00X,Scope,B36A4,10
SF-G2 5.00X,Scope,B36A4,10
MARS-F LPVO,Scope,B36A4,25
MC-CO LPVO,Scope,B36A4,25
DVO LPVO,Scope,B36A4,25
GRIM 1.50X,Scope,B36A4,25
PAS-35 3.00X,Scope,B36A4,25
5 MW Red,Top Accessory,B36A4,10
5 MW Green,Top Accessory,B36A4,10
50 MW Green,Top Accessory,B36A4,20
50 MW Blue,Top Accessory,B36A4,20
120 MW Blue,Top Accessory,B36A4,30
6H64 Vertical,Underbarrel,B36A4,25
Adjustable Angled,Underbarrel,B36A4,15
Alloy Vertical,Underbarrel,B36A4,20
Bipod,Underbarrel,B36A4,10
Canted Stubby,Underbarrel,B36A4,30
Classic Grip Pod,Underbarrel,B36A4,30
Classic Vertical,Underbarrel,B36A4,35
Folding Stubby,Underbarrel,B36A4,20
Folding Vertical,Underbarrel,B36A4,10
Full Angled,Underbarrel,B36A4,25
Low-Profile Stubby,Underbarrel,B36A4,45
PTT Grip Pod,Underbarrel,B36A4,20
QD Grip Pod,Underbarrel,B36A4,30
Ribbed Stubby,Underbarrel,B36A4,30
Ribbed Vertical,Underbarrel,B36A4,20
Slim Angled,Underbarrel,B36A4,25
Stippled Stubby,Underbarrel,B36A4,35
Underslung Mount,Underbarrel,B36A4,10
FMJ,Ammunition,DRS-IAR,5
Tungsten Core,Ammunition,DRS-IAR,5
Polymer Case,Ammunition,DRS-IAR,10
Hollow Point,Ammunition,DRS-IAR,20
Frangible,Ammunition,DRS-IAR,20
Synthetic Tip,Ammunition,DRS-IAR,30
"16.5"" Basic",Barrel,DRS-IAR,10
"16.5"" LSW",Barrel,DRS-IAR,10
"20"" LE",Barrel,DRS-IAR,15
"20"" SDM-R",Barrel,DRS-IAR,10
"14.5"" Carbine",Barrel,DRS-IAR,15
"16.5"" Fluted",Barrel,DRS-IAR,20
Magwell Flare,Ergonomics,DRS-IAR,10
Match Trigger,Ergonomics,DRS-IAR,15
30RND Fast Mag,Magazine,DRS-IAR,10
30RND Magazine,Magazine,DRS-IAR,5
36RND Magazine,Magazine,DRS-IAR,15
40RND Fast Mag,Magazine,DRS-IAR,30
40RND Magazine,Magazine,DRS-IAR,25
45RND Fast Mag,Magazine,DRS-IAR,40
45RND Magazine,Magazine,DRS-IAR,35
50RND Magazine,Magazine,DRS-IAR,45
60RND Magazine,Magazine,DRS-IAR,55
Compensated Brake,Muzzle,DRS-IAR,20
CQB Suppressor,Muzzle,DRS-IAR,30
Double-Port Brake,Muzzle,DRS-IAR,10
Flash Hider,Muzzle,DRS-IAR,10
Lightened Suppressor,Muzzle,DRS-IAR,30
Linear Comp,Muzzle,DRS-IAR,10
Long Suppressor,Muzzle,DRS-IAR,25
Single-Port Brake,Muzzle,DRS-IAR,5
Standard Suppressor,Muzzle,DRS-IAR,20
Canted Iron Sights,Optic Accessory,DRS-IAR,5
Canted Reflex,Optic Accessory,DRS-IAR,10
Piggyback Reflex,Optic Accessory,DRS-IAR,10
Flashlight,Right Accessory,DRS-IAR,10
Iron Sights,Scope,DRS-IAR,5
MINI FLEX 1.00X,Scope,DRS-IAR,10
R-MR 1.00X,Scope,DRS-IAR,10
OSA-7 1.00x,Scope,DRS-IAR,10
CQ RDS 1.25X,Scope,DRS-IAR,10
RO-S 1.25X,Scope,DRS-IAR,10
2PRO 1.25X,Scope,DRS-IAR,10
ROX 1.50X,Scope,DRS-IAR,10
SU-123 1.50X,Scope,DRS-IAR,10
1P87 1.50X,Scope,DRS-IAR,10
A-P2 1.75X,Scope,DRS-IAR,10
RO-M 1.75x,Scope,DRS-IAR,10
3VZR 1.75X,Scope,DRS-IAR,10
CCO 2.00x,Scope,DRS-IAR,10
R4T 2.00X,Scope,DRS-IAR,10
BF-2M 2.50x,Scope,DRS-IAR,10
BAKER 3.00X,Scope,DRS-IAR,10
SDO 3.50X,Scope,DRS-IAR,10
PVQ-31 4.00x,Scope,DRS-IAR,10
LDS 4.50X,Scope,DRS-IAR,10
ST PRISIM 5.00X,Scope,DRS-IAR,10
SF-G2 5.00X,Scope,DRS-IAR,10
MARS-F LPVO,Scope,DRS-IAR,25
MC-CO LPVO,Scope,DRS-IAR,25
DVO LPVO,Scope,DRS-IAR,25
GRIM 1.50X,Scope,DRS-IAR,25
PAS-35 3.00X,Scope,DRS-IAR,25
5 MW Red,Top Accessory,DRS-IAR,10
5 MW Green,Top Accessory,DRS-IAR,20
50 MW Green,Top Accessory,DRS-IAR,20
50 MW Blue,Top Accessory,DRS-IAR,20
120 MW Blue,Top Accessory,DRS-IAR,30
6H64 Vertical,Underbarrel,DRS-IAR,25
Adjustable Angled,Underbarrel,DRS-IAR,15
Alloy Vertical,Underbarrel,DRS-IAR,20
Bipod,Underbarrel,DRS-IAR,10
Canted Stubby,Underbarrel,DRS-IAR,30
Classic Grip Pod,Underbarrel,DRS-IAR,30
Classic Vertical,Underbarrel,DRS-IAR,35
Folding Stubby,Underbarrel,DRS-IAR,20
Folding Vertical,Underbarrel,DRS-IAR,10
Full Angled,Underbarrel,DRS-IAR,25
Low-Profile Stubby,Underbarrel,DRS-IAR,45
PTT Grip Pod,Underbarrel,DRS-IAR,20
QD Grip Pod,Underbarrel,DRS-IAR,30
Ribbed Stubby,Underbarrel,DRS-IAR,30
Ribbed Vertical,Underbarrel,DRS-IAR,20
Slim Angled,Underbarrel,DRS-IAR,25
Stippled Stubby,Underbarrel,DRS-IAR,35
FMJ,Ammunition,ES 5.7,5
Tungsten Core,Ammunition,ES 5.7,5
Hollow Point,Ammunition,ES 5.7,20
Frangible,Ammunition,ES 5.7,20
122MM Factory,Barrel,ES 5.7,10
122MM Pencil,Barrel,ES 5.7,20
Improved Mag Catch,Ergonomics,ES 5.7,5
20RND Magazine,Magazine,ES 5.7,5
30RND Magazine,Magazine,ES 5.7,40
CQB Suppressor,Muzzle,ES 5.7,30
Flash Hider,Muzzle,ES 5.7,10
Single-Port Brake,Muzzle,ES 5.7,10
Standard Suppressor,Muzzle,ES 5.7,20
Iron Sights,Scope,ES 5.7,5
MINI FLEX 1.00X,Scope,ES 5.7,10
R-MR 1.00X,Scope,ES 5.7,10
CQ RDS 1.25X,Scope,ES 5.7,10
RO-S 1.25X,Scope,ES 5.7,10
ROX 1.50X,Scope,ES 5.7,10
A-P2 1.75X,Scope,ES 5.7,10
5 MW Green,Underbarrel,ES 5.7,10
5 MW Red,Underbarrel,ES 5.7,10
50 MW Green,Underbarrel,ES 5.7,20
Flashlight,Underbarrel,ES 5.7,10
Laser/Light Combo Green,Underbarrel,ES 5.7,20
Laser/Light Combo Red,Underbarrel,ES 5.7,20
FMJ,Ammunition,GRT-BC,5
Tungsten Core,Ammunition,GRT-BC,5
Polymer Case,Ammunition,GRT-BC,10
Hollow Point,Ammunition,GRT-BC,20
Frangible,Ammunition,GRT-BC,20
"10"" Full",Barrel,GRT-BC,10
"14.5"" Alt",Barrel,GRT-BC,15
"10"" Factory",Barrel,GRT-BC,20
Improved Mag Catch,Ergonomics,GRT-BC,5
Match Trigger,Ergonomics,GRT-BC,15
30RND Fast Mag,Magazine,GRT-BC,10
30RND Magazine,Magazine,GRT-BC,5
36RND Magazine,Magazine,GRT-BC,15
45RND Fast Mag,Magazine,GRT-BC,40
45RND Magazine,Magazine,GRT-BC,35
Compensated Brake,Muzzle,GRT-BC,20
CQB Suppressor,Muzzle,GRT-BC,30
Double-Port Brake,Muzzle,GRT-BC,10
Flash Hider,Muzzle,GRT-BC,10
Lightened Suppressor,Muzzle,GRT-BC,30
Linear Comp,Muzzle,GRT-BC,10
Long Suppressor,Muzzle,GRT-BC,25
Single-Port Brake,Muzzle,GRT-BC,5
Standard Suppressor,Muzzle,GRT-BC,20
Canted Iron Sights,Optic Accessory,GRT-BC,5
Canted Reflex,Optic Accessory,GRT-BC,10
Flashlight,Right Accessory,GRT-BC,10
5 MW Red,Right Accessory,GRT-BC,10
5 MW Green,Right Accessory,GRT-BC,10
50 MW Green,Right Accessory,GRT-BC,20
50 MW Blue,Right Accessory,GRT-BC,20
120 MW Blue,Right Accessory,GRT-BC,30
Laser/Light Combo Red,Right Accessory,GRT-BC,20
Laser/Light Combo Green,Right Accessory,GRT-BC,20
Iron Sights,Scope,GRT-BC,5
MINI FLEX 1.00X,Scope,GRT-BC,10
R-MR 1.00X,Scope,GRT-BC,10
OSA-7 1.00x,Scope,GRT-BC,10
CQ RDS 1.25X,Scope,GRT-BC,10
RO-S 1.25X,Scope,GRT-BC,10
2PRO 1.25X,Scope,GRT-BC,10
ROX 1.50X,Scope,GRT-BC,10
SU-123 1.50X,Scope,GRT-BC,10
1P87 1.50X,Scope,GRT-BC,10
A-P2 1.75X,Scope,GRT-BC,10
RO-M 1.75x,Scope,GRT-BC,10
3VZR 1.75X,Scope,GRT-BC,10
CCO 2.00x,Scope,GRT-BC,10
R4T 2.00X,Scope,GRT-BC,10
BF-2M 2.50x,Scope,GRT-BC,10
BAKER 3.00X,Scope,GRT-BC,10
SDO 3.50X,Scope,GRT-BC,10
PVQ-31 4.00x,Scope,GRT-BC,10
LDS 4.50X,Scope,GRT-BC,10
ST PRISIM 5.00X,Scope,GRT-BC,10
SF-G2 5.00X,Scope,GRT-BC,10
MARS-F LPVO,Scope,GRT-BC,25
GRIM 1.50X,Scope,GRT-BC,25
PAS-35 3.00X,Scope,GRT-BC,25
6H64 Vertical,Underbarrel,GRT-BC,25
Alloy Vertical,Underbarrel,GRT-BC,20
Canted Stubby,Underbarrel,GRT-BC,30
Classic Vertical,Underbarrel,GRT-BC,35
Compact Handstop,Underbarrel,GRT-BC,10
Folding Stubby,Underbarrel,GRT-BC,20
Folding Vertical,Underbarrel,GRT-BC,10
Low-Profile Stubby,Underbarrel,GRT-BC,45
Ribbed Stubby,Underbarrel,GRT-BC,30
Ribbed Vertical,Underbarrel,GRT-BC,20
Stippled Stubby,Underbarrel,GRT-BC,35
FMJ,Ammunition,KORD 6P67,5
Tungsten Core,Ammunition,KORD 6P67,5
Polymer Case,Ammunition,KORD 6P67,10
Hollow Point,Ammunition,KORD 6P67,20
Frangible,Ammunition,KORD 6P67,20
415MM Factory,Barrel,KORD 6P67,10
415MM Prototype,Barrel,KORD 6P67,10
415MM Fluted,Barrel,KORD 6P67,20
Match Trigger,Ergonomics,KORD 6P67,15
30RND Fast Mag,Magazine,KORD 6P67,10
30RND Magazine,Magazine,KORD 6P67,5
36RND Magazine,Magazine,KORD 6P67,15
40RND Fast Mag,Magazine,KORD 6P67,30
40RND Magazine,Magazine,KORD 6P67,25
45RND Fast Mag,Magazine,KORD 6P67,40
45RND Magazine,Magazine,KORD 6P67,35
Compensated Brake,Muzzle,KORD 6P67,20
CQB Suppressor,Muzzle,KORD 6P67,30
Double-Port Brake,Muzzle,KORD 6P67,10
Flash Hider,Muzzle,KORD 6P67,10
Lightened Suppressor,Muzzle,KORD 6P67,30
Linear Comp,Muzzle,KORD 6P67,10
Long Suppressor,Muzzle,KORD 6P67,25
Single-Port Brake,Muzzle,KORD 6P67,5
Standard Suppressor,Muzzle,KORD 6P67,20
Canted Iron Sights,Optic Accessory,KORD 6P67,5
Canted Reflex,Optic Accessory,KORD 6P67,10
Flashlight,Right Accessory,KORD 6P67,10
5 MW Red,Right Accessory,KORD 6P67,10
5 MW Green,Right Accessory,KORD 6P67,10
50 MW Green,Right Accessory,KORD 6P67,20
50 MW Blue,Right Accessory,KORD 6P67,20
120 MW Blue,Right Accessory,KORD 6P67,30
Laser/Light Combo Green,Right Accessory,KORD 6P67,20
Iron Sights,Scope,KORD 6P67,5
MINI FLEX 1.00X,Scope,KORD 6P67,10
R-MR 1.00X,Scope,KORD 6P67,10
OSA-7 1.00x,Scope,KORD 6P67,10
CQ RDS 1.25X,Scope,KORD 6P67,10
RO-S 1.25X,Scope,KORD 6P67,10
2PRO 1.25X,Scope,KORD 6P67,10
ROX 1.50X,Scope,KORD 6P67,10
SU-123 1.50X,Scope,KORD 6P67,10
1P87 1.50X,Scope,KORD 6P67,10
A-P2 1.75X,Scope,KORD 6P67,10
RO-M 1.75x,Scope,KORD 6P67,10
3VZR 1.75X,Scope,KORD 6P67,10
CCO 2.00x,Scope,KORD 6P67,10
R4T 2.00X,Scope,KORD 6P67,10
BF-2M 2.50x,Scope,KORD 6P67,10
BAKER 3.00X,Scope,KORD 6P67,10
SDO 3.50X,Scope,KORD 6P67,10
PVQ-31 4.00x,Scope,KORD 6P67,10
LDS 4.50X,Scope,KORD 6P67,10
ST PRISIM 5.00X,Scope,KORD 6P67,10
SF-G2 5.00X,Scope,KORD 6P67,10
MARS-F LPVO,Scope,KORD 6P67,25
MC-CO LPVO,Scope,KORD 6P67,25
DVO LPVO,Scope,KORD 6P67,25
GRIM 1.50X,Scope,KORD 6P67,25
PAS-35 3.00X,Scope,KORD 6P67,25
6H64 Vertical,Underbarrel,KORD 6P67,25
Alloy Vertical,Underbarrel,KORD 6P67,20
Bipod,Underbarrel,KORD 6P67,10
Canted Stubby,Underbarrel,KORD 6P67,30
Classic Grip Pod,Underbarrel,KORD 6P67,30
Classic Vertical,Underbarrel,KORD 6P67,35
Folding Stubby,Underbarrel,KORD 6P67,20
Folding Vertical,Underbarrel,KORD 6P67,10
Full Angled,Underbarrel,KORD 6P67,25
Low-Profile Stubby,Underbarrel,KORD 6P67,45
PTT Grip Pod,Underbarrel,KORD 6P67,20
QD Grip Pod,Underbarrel,KORD 6P67,30
Ribbed Stubby,Underbarrel,KORD 6P67,30
Ribbed Vertical,Underbarrel,KORD 6P67,20
Slim Angled,Underbarrel,KORD 6P67,25
Stippled Stubby,Underbarrel,KORD 6P67,35
FMJ,Ammunition,KTS100 MK8,5
Tungsten Core,Ammunition,KTS100 MK8,5
Polymer Case,Ammunition,KTS100 MK8,10
Hollow Point,Ammunition,KTS100 MK8,20
Frangible,Ammunition,KTS100 MK8,20
Synthetic Tip,Ammunition,KTS100 MK8,30
457MM MK9,Barrel,KTS100 MK8,10
508MM MK8,Barrel,KTS100 MK8,10
330MM MK3,Barrel,KTS100 MK8,15
Match Trigger,Ergonomics,KTS100 MK8,15
100RND Drum Mag,Magazine,KTS100 MK8,45
45RND Fast Mag,Magazine,KTS100 MK8,10
45RND Magazine,Magazine,KTS100 MK8,5
50RND Magazine,Magazine,KTS100 MK8,5
60RND Drum Mag,Magazine,KTS100 MK8,5
60RND Fast Mag,Magazine,KTS100 MK8,10
Compensated Brake,Muzzle,KTS100 MK8,20
CQB Suppressor,Muzzle,KTS100 MK8,30
Double-Port Brake,Muzzle,KTS100 MK8,10
Flash Hider,Muzzle,KTS100 MK8,10
Lightened Suppressor,Muzzle,KTS100 MK8,30
Linear Comp,Muzzle,KTS100 MK8,10
Long Suppressor,Muzzle,KTS100 MK8,25
Single-Port Brake,Muzzle,KTS100 MK8,5
Standard Suppressor,Muzzle,KTS100 MK8,20
Canted Iron Sights,Optic Accessory,KTS100 MK8,5
Canted Reflex,Optic Accessory,KTS100 MK8,10
Flashlight,Right Accessory,KTS100 MK8,10
5 MW Red,Right Accessory,KTS100 MK8,10
5 MW Green,Right Accessory,KTS100 MK8,10
50 MW Green,Right Accessory,KTS100 MK8,20
50 MW Blue,Right Accessory,KTS100 MK8,20
120 MW Blue,Right Accessory,KTS100 MK8,30
Laser/Light Combo Red,Right Accessory,KTS100 MK8,20
Laser/Light Combo Green,Right Accessory,KTS100 MK8,20
Iron Sights,Scope,KTS100 MK8,5
MINI FLEX 1.00X,Scope,KTS100 MK8,10
R-MR 1.00X,Scope,KTS100 MK8,10
OSA-7 1.00x,Scope,KTS100 MK8,10
CQ RDS 1.25X,Scope,KTS100 MK8,10
RO-S 1.25X,Scope,KTS100 MK8,10
2PRO 1.25X,Scope,KTS100 MK8,10
ROX 1.50X,Scope,KTS100 MK8,10
SU-123 1.50X,Scope,KTS100 MK8,10
1P87 1.50X,Scope,KTS100 MK8,10
A-P2 1.75X,Scope,KTS100 MK8,10
RO-M 1.75x,Scope,KTS100 MK8,10
3VZR 1.75X,Scope,KTS100 MK8,10
CCO 2.00x,Scope,KTS100 MK8,10
R4T 2.00X,Scope,KTS100 MK8,10
BF-2M 2.50x,Scope,KTS100 MK8,10
BAKER 3.00X,Scope,KTS100 MK8,10
SDO 3.50X,Scope,KTS100 MK8,10
PVQ-31 4.00x,Scope,KTS100 MK8,10
